鼓,,○コ,◎つづみ
錮,,○コ,
顧,,○コ○かえりみる,
五,①ゴ①いつ①いつつ,,
互,,○ゴ○たがい,
午,②ゴ,,
呉,,○ゴ,
後,②ゴ②コウ②のち②うしろ②あと,○おくれる,
娯,,○ゴ,
悟,,○ゴ○さとる,
碁,,○ゴ,
語,②ゴ②かたる②かたらう,,
誤,⑥ゴ⑥あやまる,,
護,⑤ゴ,,
口,①コウ①ク①くち,,
工,②コウ②ク,,
公,②コウ,○おおやけ,
勾,,○コウ,
孔,,○コウ,
功,④コウ,,◎ク
巧,,○コウ○たくみ,
広,②コウ②ひろい②ひろまる②ひろめる②ひろがる②ひろげる,,
甲,,○コウ○カン,
交,②コウ②まじわる②まじえる②まじる②まざる②まぜる,○かう○かわす,
光,②コウ②ひかる②ひかり,,
向,③コウ③むく③むける③むかう③むこう,,
后,⑥コウ,,
好,④コウ④このむ④すく,,
江,,○コウ○え,
考,②コウ②かんがえる,,
行,②コウ②ギョウ②いく②ゆく②おこなう,,◎アン
坑,,○コウ,
孝,⑥コウ,,
抗,,○コウ,
攻,,○コウ○せめる,
更,,○コウ○さら,◎ふける◎ふかす
効,⑤コウ⑤きく,,
幸,③コウ③さいわい③しあわせ,○さち,
拘,,○コウ,
肯,,○コウ,
侯,,○コウ,
厚,⑤あつい,○コウ,
恒,,○コウ,
洪,,○コウ,
皇,⑥コウ⑥オウ,,
紅,⑥コウ⑥べに,○ク○くれない,
荒,,○コウ○あらい○あれる○あらす,
郊,,○コウ,
香,④か④かおり④かおる,○コウ,◎キョウ
候,④コウ,,◎そうろう
校,①コウ,,
耕,⑤コウ⑤たがやす,,
航,⑤コウ,,
貢,,○コウ,◎ク◎みつぐ
降,⑥コウ⑥おりる⑥おろす⑥ふる,,
高,②コウ②たかい②たか②たかまる②たかめる,,
康,④コウ,,
控,,○ひかえる,◎コウ
梗,,○コウ,
黄,②オウ②き,○コウ○こ,
喉,,○コウ○のど,
慌,,○あわてる○あわただしい,◎コウ
港,③コウ③みなと,,
硬,,○コウ○かたい,
